Timestamp,IBEX SpotPrice (EUR/MWh),Consumption (kWh),ChargingPowerRegulation (kW),DischargingPowerRegulation (kW),EnergyLevel (kWh),PV Production (kWh),ActualSolarIrradiation (W/m^2),ActualTemperature (?)
15.10.2019 00:00,0.08891,55.394,0,0,133.866,0,0,14.08
15.10.2019 00:15,0.08891,55.665,0,0,133.866,0,1,14.18
15.10.2019 00:30,0.08891,54.211,0,0,133.866,0.02,7,14.31
15.10.2019 00:45,0.08891,51.458,0,0,133.866,0.097,17,14.46
15.10.2019 01:00,0.09353,18.597,0,180,133.866,0.195,35,14.62
15.10.2019 01:15,0.09353,24.197,0,180,100.701,0.326,56,14.77
15.10.2019 01:30,0.09353,40.865,0,81.14792,66.933,0.461,82,14.92
15.10.2019 01:45,0.09353,70.301,53.33469388,0,48.039,0.556,114,15.08
15.10.2019 02:00,0.08297,88.966,130.4530612,0,59.094,0.711,164,15.26
15.10.2019 02:15,0.08297,79.914,85.33061224,0,85.827,0.762,204,15.46
15.10.2019 02:30,0.08297,59.148,0,0,102.912,1.121,243,15.66
15.10.2019 02:45,0.08297,60.898,0,0,103.314,1.028,276,15.88
15.10.2019 03:00,0.07573,55.192,0,0,103.314,1.518,299,16.1
15.10.2019 03:15,0.07573,52.99,0,0,103.113,1.796,318,16.31
15.10.2019 03:30,0.07573,54.985,0,0,103.113,1.457,333,16.51
15.10.2019 03:45,0.07573,50.046,0,0,103.113,1.54,344,16.68
15.10.2019 04:00,0.07591,48.192,0,0,102.912,1.59,336,16.8
15.10.2019 04:15,0.07591,48.382,0,0,102.912,1.74,348,16.87
15.10.2019 04:30,0.07591,44.807,0,0,102.912,3.846,365,16.92
15.10.2019 04:45,0.07591,44.379,0,0,102.912,2.44,392,16.97
15.10.2019 05:00,0.06191,45.879,0,0,102.912,2.981,454,17.04
15.10.2019 05:15,0.06191,47.824,0,0,102.912,3.273,489,17.13
15.10.2019 05:30,0.06191,46.511,0,0,102.912,3.825,517,17.23
15.10.2019 05:45,0.06191,45.551,0,0,102.711,3.829,533,17.32
15.10.2019 06:00,0.06189,42.323,0,0,102.711,4.797,508,17.39
15.10.2019 06:15,0.06189,44.987,0,0,102.711,4.505,514,17.45
15.10.2019 06:30,0.06189,46.471,0,0,102.711,3.771,524,17.49
15.10.2019 06:45,0.06189,49.116,0,0,102.51,3.583,540,17.51
15.10.2019 07:00,0.06189,46.733,0,0,102.51,3.252,538,17.53
15.10.2019 07:15,0.06189,60.416,51.3877551,0,102.51,3.239,518,17.54
15.10.2019 07:30,0.06189,71.619,180,0,112.56,2.787,495,17.54
15.10.2019 07:45,0.06189,51.803,180,0,131.253,2.363,469,17.54
15.10.2019 08:00,0.06191,48.593,115.244098,0,133.866,2.144,451,17.52
15.10.2019 08:15,0.06191,50.976,104.7688196,0,133.866,1.981,419,17.49
15.10.2019 08:30,0.06191,42.993,104.7688196,0,133.866,1.693,386,17.45
15.10.2019 08:45,0.06191,43.226,104.7688196,0,133.866,1.406,351,17.39
15.10.2019 09:00,0.06958,44.335,0,0,133.866,0.749,310,17.31
15.10.2019 09:15,0.06958,44.566,0,0,133.866,0.328,273,17.21
15.10.2019 09:30,0.06958,46.564,0,0,133.866,0.31,230,17.09
15.10.2019 09:45,0.06958,46.112,0,0,133.866,0.328,188,16.94
15.10.2019 10:00,0.06958,44.971,0,0,133.866,0.321,149,16.77
15.10.2019 10:15,0.06958,47.336,104.7688196,0,133.866,0.292,111,16.58
15.10.2019 10:30,0.06958,57.125,104.7688196,0,133.866,0.243,75,16.35
15.10.2019 10:45,0.06958,49.569,104.7688196,0,133.866,0.185,44,16.06
15.10.2019 11:00,0.08298,49.476,0,0,133.866,0.117,16,15.71
15.10.2019 11:15,0.08298,53.029,0,0,133.866,0.037,2,15.33
15.10.2019 11:30,0.08298,52.612,0,0,133.866,0.002,0,14.99
15.10.2019 11:45,0.08298,41.804,0,0,133.866,0,0,14.76
15.10.2019 12:00,0.10795,6.199,0,180,133.866,0,0,14.72
15.10.2019 12:15,0.10795,12.873,0,180,100.701,0,0,14.85
15.10.2019 12:30,0.10795,23.894,0,81.14792,66.732,0,0,15.06
15.10.2019 12:45,0.10795,51.607,54.15510204,0,48.039,0,0,15.24
15.10.2019 13:00,0.08598,76.073,130.4530612,0,59.496,0,0,15.3
15.10.2019 13:15,0.08598,72.329,83.68979592,0,86.028,0,0,15.23
15.10.2019 13:30,0.08598,47.022,0,23.62976,102.912,0,0,15.07
15.10.2019 13:45,0.08598,33.212,0,89.81504,98.088,0,0,14.9
15.10.2019 14:00,0.07893,33.573,0,70.90496,78.591,0,0,14.78
15.10.2019 14:15,0.07893,50.728,5.751020408,0,62.712,0,0,14.73
15.10.2019 14:30,0.07893,65.633,70.56326531,0,63.918,0,0,14.71
15.10.2019 14:45,0.07893,63.616,65.64081633,0,78.39,0,0,14.71
15.10.2019 15:00,0.07197,37.64,6.571428571,0,91.857,0,0,14.69
15.10.2019 15:15,0.07197,22.829,0,46.47944,93.465,0,0,14.64
15.10.2019 15:30,0.07197,25.629,0,52.7828,83.415,0,0,14.59
15.10.2019 15:45,0.07197,29.739,0,13.3868,71.757,0,0,14.56
